'x1','x2'
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.62522,7.00258
4.36737,6.61084
4.36737,6.61084
4.36737,6.61084
4.36737,6.61084
4.36737,6.61084
2.04327,5.82943
2.04327,5.82943
2.04327,5.82943
2.04327,5.82943
2.51197,6.64852
2.51197,6.64852
2.51197,6.64852
1.99472,6.08787
1.99472,6.08787
1.99472,6.08787
1.99472,6.08787
1.99472,6.08787
1.99472,6.08787
1.99472,6.08787
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
2.05136,6.80361
1.90217,6.64729
1.90217,6.64729
1.90217,6.64729
1.90217,6.64729
1.90217,6.64729
2.19223,6.37847
2.19223,6.37847
2.19223,6.37847
2.19223,6.37847
2.19223,6.37847
2.19223,6.37847
2.46826,6.71048
2.46826,6.71048
2.46826,6.71048
2.46826,6.71048
2.46826,6.71048
2.46826,6.71048
2.11347,6.83813
2.11347,6.83813
2.11347,6.83813
2.11347,6.83813
2.11347,6.83813
2.11347,6.83813
2.11347,6.83813
2.13316,7.3882
2.13316,7.3882
2.13316,7.3882
2.13316,7.3882
2.13316,7.3882
1.67566,6.83511
1.67566,6.83511
2.45504,6.8089
1.79528,7.25468
2.65655,6.99951
2.13329,7.69839
2.13329,7.69839
2.13329,7.69839
2.13329,7.69839
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.55407,7.2427
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.86299,7.44625
4.78799,7.3017
4.78799,7.3017
4.78799,7.3017
4.78799,7.3017
4.52107,6.45098
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.96491,8.45586
4.99259,9.00725
4.99259,9.00725
4.99259,9.00725
4.99259,9.00725
4.99259,9.00725
4.99259,9.00725
4.94125,7.59577
4.94125,7.59577
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
5.02464,9.30048
