# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-3.48662e-05 -----------------
#dely    BF
0.050 -0.0143 -0.0013
0.150 -0.0025 -0.0002
0.250 -0.0032 -0.0003
0.350  0.0043  0.0005
0.450  0.0113  0.0013
0.550 -0.0042 -0.0006
0.650  0.0021  0.0003
0.750 -0.0026 -0.0005
0.850  0.0063  0.0010
0.950  0.0004  0.0001
1.050 -0.0036 -0.0008
1.150  0.0031  0.0009
1.250  0.0018  0.0009
1.350  0.0008  0.0005
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
