# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0730432 -----------------
#dely    BF
0.050  0.1142  0.0071
0.150  0.1158  0.0074
0.250  0.1149  0.0072
0.350  0.1103  0.0069
0.450  0.0718  0.0053
0.550  0.0608  0.0048
0.650  0.0501  0.0041
0.750  0.0379  0.0035
0.850  0.0134  0.0014
0.950  0.0164  0.0019
1.050  0.0168  0.0019
1.150  0.0104  0.0016
1.250 -0.0017 -0.0003
1.350 -0.0007 -0.0002
1.450  0.0005  0.0002
1.550  0.0000  0.0000
1.650 -0.0005 -0.0005
1.750  0.0000  0.0000
