# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-1.09122e-05 -----------------
#dely    BF
0.050  0.0228  0.0019
0.150 -0.0227 -0.0019
0.250  0.0067  0.0006
0.350  0.0005  0.0000
0.450 -0.0007 -0.0001
0.550 -0.0036 -0.0005
0.650 -0.0033 -0.0004
0.750 -0.0022 -0.0003
0.850 -0.0030 -0.0005
0.950  0.0014  0.0003
1.050 -0.0017 -0.0004
1.150  0.0035  0.0010
1.250  0.0025  0.0010
1.350 -0.0002 -0.0001
1.450  0.0003  0.0002
1.550 -0.0005 -0.0005
1.650  0.0000  0.0000
1.750  0.0000  0.0000
