# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.165471 -----------------
#dely    BF
0.050  0.2182  0.0019
0.150  0.2118  0.0019
0.250  0.1902  0.0018
0.350  0.1713  0.0017
0.450  0.1616  0.0017
0.550  0.1456  0.0016
0.650  0.1202  0.0014
0.750  0.1073  0.0014
0.850  0.0755  0.0011
0.950  0.0597  0.0009
1.050  0.0693  0.0012
1.150  0.0452  0.0009
1.250  0.0218  0.0005
1.350  0.0273  0.0007
1.450  0.0223  0.0008
1.550  0.0050  0.0002
1.650  0.0028  0.0002
1.750 -0.0006 -0.0001
