# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0132574 -----------------
#dely    BF
0.050 -0.0270 -0.0024
0.150 -0.0661 -0.0054
0.250 -0.0334 -0.0029
0.350 -0.0169 -0.0016
0.450  0.0110  0.0013
0.550 -0.0144 -0.0018
0.650  0.0049  0.0006
0.750 -0.0032 -0.0005
0.850  0.0001  0.0000
0.950  0.0017  0.0004
1.050  0.0031  0.0010
1.150  0.0062  0.0015
1.250  0.0016  0.0006
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
