# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00831124 -----------------
#dely    BF
0.050  0.0496  0.0041
0.150  0.0125  0.0011
0.250  0.0174  0.0017
0.350  0.0023  0.0002
0.450  0.0080  0.0009
0.550 -0.0133 -0.0017
0.650  0.0056  0.0008
0.750  0.0037  0.0006
0.850 -0.0047 -0.0009
0.950 -0.0050 -0.0009
1.050  0.0060  0.0015
1.150  0.0024  0.0007
1.250 -0.0027 -0.0008
1.350  0.0012  0.0007
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
