# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=9.28399e-05 -----------------
#dely    BF
0.050 -0.0002 -0.0000
0.150 -0.0142 -0.0013
0.250 -0.0078 -0.0007
0.350 -0.0019 -0.0002
0.450  0.0048  0.0005
0.550  0.0110  0.0014
0.650 -0.0116 -0.0017
0.750  0.0103  0.0015
0.850 -0.0035 -0.0007
0.950 -0.0027 -0.0006
1.050 -0.0000 -0.0000
1.150  0.0082  0.0018
1.250  0.0086  0.0025
1.350  0.0002  0.0001
1.450 -0.0002 -0.0002
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
