# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0722661 -----------------
#dely    BF
0.050  0.0962  0.0054
0.150  0.1211  0.0067
0.250  0.1150  0.0062
0.350  0.0829  0.0049
0.450  0.0942  0.0060
0.550  0.0556  0.0040
0.650  0.0480  0.0035
0.750  0.0325  0.0026
0.850  0.0229  0.0023
0.950  0.0202  0.0021
1.050  0.0179  0.0023
1.150  0.0073  0.0011
1.250  0.0051  0.0010
1.350 -0.0005 -0.0001
1.450  0.0033  0.0010
1.550  0.0009  0.0004
1.650  0.0000  0.0000
1.750  0.0000  0.0000
