# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.222809 -----------------
#dely    BF
0.050  0.3283  0.0027
0.150  0.3367  0.0029
0.250  0.3150  0.0028
0.350  0.2446  0.0023
0.450  0.2251  0.0022
0.550  0.1994  0.0021
0.650  0.1571  0.0018
0.750  0.1185  0.0015
0.850  0.1013  0.0014
0.950  0.0747  0.0011
1.050  0.0514  0.0009
1.150  0.0372  0.0007
1.250  0.0234  0.0005
1.350  0.0090  0.0002
1.450  0.0064  0.0002
1.550  0.0006  0.0000
1.650 -0.0004 -0.0000
1.750 -0.0003 -0.0001
