# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=4.24028e-05 -----------------
#dely    BF
0.050  0.0145  0.0013
0.150  0.0114  0.0010
0.250  0.0059  0.0006
0.350 -0.0085 -0.0009
0.450 -0.0053 -0.0006
0.550 -0.0021 -0.0003
0.650  0.0045  0.0006
0.750  0.0057  0.0010
0.850 -0.0103 -0.0018
0.950 -0.0038 -0.0009
1.050 -0.0105 -0.0021
1.150  0.0006  0.0002
1.250 -0.0031 -0.0013
1.350  0.0026  0.0010
1.450 -0.0009 -0.0005
1.550 -0.0003 -0.0002
1.650  0.0000  0.0000
1.750  0.0000  0.0000
