# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-1.36856e-05 -----------------
#dely    BF
0.050 -0.0439 -0.0040
0.150 -0.0184 -0.0016
0.250  0.0048  0.0005
0.350  0.0077  0.0008
0.450 -0.0170 -0.0018
0.550 -0.0000 -0.0000
0.650  0.0144  0.0018
0.750  0.0305  0.0044
0.850  0.0027  0.0004
0.950  0.0112  0.0022
1.050 -0.0004 -0.0001
1.150  0.0065  0.0021
1.250  0.0033  0.0015
1.350  0.0006  0.0003
1.450 -0.0022 -0.0013
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
