# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0166 -----------------
#dely    BF
0.050  0.0203  0.0011
0.150  0.0272  0.0016
0.250  0.0145  0.0009
0.350  0.0177  0.0012
0.450  0.0203  0.0014
0.550  0.0167  0.0013
0.650  0.0205  0.0016
0.750 -0.0044 -0.0004
0.850  0.0137  0.0014
0.950  0.0130  0.0014
1.050  0.0040  0.0005
1.150 -0.0021 -0.0003
1.250  0.0019  0.0004
1.350  0.0014  0.0003
1.450  0.0011  0.0004
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
