# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00980561 -----------------
#dely    BF
0.050  0.0131  0.0003
0.150  0.0126  0.0003
0.250  0.0068  0.0002
0.350  0.0114  0.0003
0.450  0.0084  0.0002
0.550  0.0073  0.0002
0.650  0.0122  0.0004
0.750  0.0042  0.0001
0.850  0.0055  0.0002
0.950  0.0053  0.0002
1.050  0.0042  0.0002
1.150  0.0021  0.0001
1.250  0.0030  0.0002
1.350  0.0017  0.0001
1.450  0.0007  0.0001
1.550 -0.0005 -0.0001
1.650  0.0001  0.0000
1.750  0.0000  0.0000
