# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-8.62164e-05 -----------------
#dely    BF
0.050  0.0062  0.0006
0.150 -0.0059 -0.0005
0.250  0.0128  0.0012
0.350 -0.0083 -0.0009
0.450 -0.0062 -0.0006
0.550  0.0015  0.0002
0.650 -0.0073 -0.0010
0.750  0.0030  0.0005
0.850 -0.0019 -0.0004
0.950  0.0003  0.0001
1.050  0.0049  0.0011
1.150  0.0015  0.0005
1.250 -0.0016 -0.0007
1.350  0.0002  0.0002
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
