# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0131182 -----------------
#dely    BF
0.050  0.0253  0.0025
0.150  0.0124  0.0014
0.250  0.0203  0.0024
0.350  0.0212  0.0022
0.450  0.0104  0.0012
0.550  0.0126  0.0016
0.650 -0.0087 -0.0014
0.750  0.0114  0.0018
0.850  0.0119  0.0023
0.950  0.0107  0.0023
1.050  0.0019  0.0004
1.150  0.0015  0.0004
1.250  0.0010  0.0005
1.350 -0.0008 -0.0006
1.450  0.0003  0.0002
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
