# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00730703 -----------------
#dely    BF
0.050 -0.0051 -0.0005
0.150  0.0231  0.0022
0.250 -0.0257 -0.0025
0.350  0.0104  0.0011
0.450  0.0161  0.0019
0.550  0.0039  0.0005
0.650  0.0078  0.0011
0.750  0.0150  0.0022
0.850  0.0122  0.0024
0.950  0.0049  0.0011
1.050  0.0045  0.0010
1.150  0.0009  0.0003
1.250  0.0052  0.0016
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
