# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0330103 -----------------
#dely    BF
0.050  0.0049  0.0010
0.150  0.0086  0.0016
0.250  0.0266  0.0054
0.350  0.0373  0.0081
0.450  0.0694  0.0168
0.550  0.0113  0.0033
0.650  0.0371  0.0096
0.750  0.0502  0.0122
0.850  0.0308  0.0126
0.950  0.0268  0.0120
1.050  0.0291  0.0168
1.150 -0.0021 -0.0015
1.250  0.0000  0.0000
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
