# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.139746 -----------------
#dely    BF
0.050  0.2170  0.0106
0.150  0.1935  0.0098
0.250  0.1849  0.0096
0.350  0.1962  0.0103
0.450  0.1542  0.0090
0.550  0.1428  0.0089
0.650  0.1326  0.0087
0.750  0.0656  0.0052
0.850  0.0504  0.0046
0.950  0.0291  0.0029
1.050  0.0158  0.0019
1.150  0.0108  0.0015
1.250  0.0035  0.0006
1.350  0.0033  0.0007
1.450 -0.0016 -0.0006
1.550 -0.0006 -0.0004
1.650  0.0000  0.0000
1.750  0.0000  0.0000
