# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=6.41513e-05 -----------------
#dely    BF
0.050 -0.0056 -0.0006
0.150  0.0094  0.0009
0.250  0.0148  0.0017
0.350 -0.0016 -0.0002
0.450  0.0025  0.0003
0.550 -0.0103 -0.0013
0.650  0.0026  0.0004
0.750 -0.0098 -0.0016
0.850  0.0070  0.0012
0.950 -0.0117 -0.0022
1.050  0.0010  0.0003
1.150  0.0009  0.0002
1.250  0.0028  0.0008
1.350 -0.0014 -0.0006
1.450 -0.0006 -0.0004
1.550  0.0008  0.0008
1.650  0.0000  0.0000
1.750  0.0000  0.0000
